序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别：,2、您的出生年份( 填写数字，如，2003 )：,3、您的年级：,4、您目前的绩点（填写数字，如，3.75）：,5、您觉得能够以4.3及以上的绩点毕业的可能性（0代表不可能，10代表极有可能）：,6、假设您能以4.3及以上的绩点毕业，您会有多高兴（0代表非常不高兴，10代表非常高兴）：,总分
39,2023/11/25 20:13:11,18秒,微信,N/A,183.46.168.10(广东-汕头),男,2002,大四,4.14,极有可能,非常高兴,20
40,2023/11/25 20:21:18,23秒,微信,N/A,223.104.68.199(广东-深圳),男,2004,大一,0,1,非常高兴,11
41,2023/11/25 20:27:39,26秒,微信,N/A,183.9.206.222(广东-揭阳),女,2001,研究生及以上,3.12,3,3,6
42,2023/11/25 20:47:03,26秒,微信,N/A,223.104.63.9(广东-深圳),女,2004,大二,3.66,不可能,非常高兴,10
43,2023/11/25 21:51:17,55秒,微信,N/A,120.235.233.231(广东-广州),男,2005,大一,3.75,6,7,13
44,2023/11/26 2:02:42,39秒,微信,N/A,117.136.40.250(广东-深圳),男,2001,研究生及以上,3.25,不可能,非常高兴,10
45,2023/11/26 2:30:10,27秒,微信,N/A,112.97.61.89(广东-深圳),女,2001,大四,3.78,极有可能,非常高兴,20
46,2023/11/26 11:15:06,23秒,微信,N/A,223.104.68.44(广东-深圳),女,2002,大四,3.6,不可能,5,5
47,2023/11/26 13:46:03,44秒,微信,N/A,27.27.131.4(湖北-襄阳),女,2004,大二,3.58,3,8,11
48,2023/11/26 15:48:39,19秒,微信,N/A,223.104.68.1(广东-深圳),男,2003,大三,4.00,不可能,5,5
49,2023/11/26 15:52:56,37秒,微信,N/A,112.97.87.184(广东-深圳),男,2003,大三,3.68,2,9,11
50,2023/11/26 19:31:51,33秒,微信,N/A,223.104.68.86(广东-深圳),女,2003,大三,3.71,不可能,非常高兴,10
